год,строительство,уровень инфляции,строительство с инфл,рост в %,рост выше инфляции
2000,2639.80,0.00,2639.80,2639.80,Да
2001,3859.30,18.58,3142.24,31.60,Да
2002,4806.90,15.06,4082.98,19.71,Да
2003,6176.70,11.99,5436.11,22.18,Да
2004,7304.70,11.74,6447.13,15.44,Да
2005,9042.80,10.91,8056.23,19.22,Да
2006,10869.20,9.00,9890.97,16.80,Да
2007,14333.40,11.87,12632.03,24.17,Да
2008,18574.00,13.28,16107.37,22.83,Да
2009,18122.20,8.80,16527.45,-2.49,Нет
2010,21171.70,8.78,19312.82,14.40,Да
2011,23682.00,6.10,22237.40,10.60,Да
2012,25950.60,6.58,24243.05,8.74,Да
2013,27701.40,6.45,25914.66,6.32,Нет
2014,29354.00,11.36,26019.39,5.63,Нет
2015,29960.00,12.91,26092.16,2.02,Нет
2016,32332.00,5.38,30592.54,7.34,Да
2017,33677.90,2.52,32829.22,4.00,Да
2018,38518.00,4.27,36873.28,12.57,Да
2019,42629.90,3.05,41329.69,9.65,Да
2020,44738.00,4.91,42541.36,4.71,Нет
2021,51944.20,8.39,47586.08,13.87,Да
2022,60849.50,11.92,53596.24,14.63,Да
2023,68944.40,7.42,63828.73,11.74,Да